Event ID   , Event time          , Desc ID   ,                                             Description, Object ID , Details
81         , 400120889.618174    , 80        ,                              User is moving a variable., 3         , (435;435)
82         , 400120889.634287    , 80        ,                              User is moving a variable., 3         , (433;439)
83         , 400120889.650637    , 80        ,                              User is moving a variable., 3         , (432;443)
84         , 400120889.666706    , 80        ,                              User is moving a variable., 3         , (430;445)
85         , 400120889.682251    , 80        ,                              User is moving a variable., 3         , (429;446)
86         , 400120889.698909    , 80        ,                              User is moving a variable., 3         , (428;447)
87         , 400120889.76214     , 81        ,                         User stopped moving a variable., 3         , (427;444)
88         , 400120890.052301    , 79        ,                           User began moving a variable., 3         , (447;445)
89         , 400120890.121172    , 58        ,                                  Update menu displayed., 3         , Variable
90         , 400120890.738372    , 60        ,                                    Edit menu displayed., 3         , Variable
91         , 400120890.953049    , 59        ,                                     Update menu closed., 3         , Variable
92         , 400120891.994564    , 19        ,                                        Keyboard opened., 3         , Edit Variable name
93         , 400120896.945167    , 72        ,                    User changed the name of a variable., 3         , From: New Variable To: Var2
94         , 400120896.945337    , 61        ,            Edit menu closed because user saved changes., 3         , Variable
95         , 400120897.305865    , 20        ,                                        Keyboard closed., 3         , Edit Variable name
96         , 400120898.306564    , 79        ,                           User began moving a variable., 3         , (437;450)
97         , 400120898.320129    , 80        ,                              User is moving a variable., 3         , (440;450)
98         , 400120898.336959    , 80        ,                              User is moving a variable., 3         , (449;450)
99         , 400120898.3522      , 80        ,                              User is moving a variable., 3         , (461;449)
100        , 400120898.368671    , 80        ,                              User is moving a variable., 3         , (482;445)
101        , 400120898.384243    , 80        ,                              User is moving a variable., 3         , (501;441)
102        , 400120898.400107    , 80        ,                              User is moving a variable., 3         , (519;435)
103        , 400120898.415842    , 80        ,                              User is moving a variable., 3         , (540;424)
104        , 400120898.432219    , 80        ,                              User is moving a variable., 3         , (555;411)
105        , 400120898.448079    , 80        ,                              User is moving a variable., 3         , (567;401)
106        , 400120898.463641    , 80        ,                              User is moving a variable., 3         , (579;390)
107        , 400120898.480153    , 80        ,                              User is moving a variable., 3         , (593;376)
108        , 400120898.49572     , 80        ,                              User is moving a variable., 3         , (608;361)
109        , 400120898.511987    , 80        ,                              User is moving a variable., 3         , (623;345)
110        , 400120898.528069    , 80        ,                              User is moving a variable., 3         , (638;328)
111        , 400120898.543706    , 80        ,                              User is moving a variable., 3         , (653;308)
112        , 400120898.559541    , 80        ,                              User is moving a variable., 3         , (672;278)
113        , 400120898.575955    , 80        ,                              User is moving a variable., 3         , (688;251)
114        , 400120898.591558    , 80        ,                              User is moving a variable., 3         , (701;234)
115        , 400120898.607539    , 80        ,                              User is moving a variable., 3         , (712;222)
116        , 400120898.624008    , 80        ,                              User is moving a variable., 3         , (718;215)
